tweet_id,Text,created_at,cleaned_text,tokens,processed_tokens,final_text,is_relevant,similarity_score,is_semantically_relevant,is_relevant_keyword,is_relevant_similarity
1658253159754498048,"@hookskat @InfiDale3476 People don't pray for those who need prayers most the poor dying of hunger, malnutrition ,dysentry, cholera.
Who cannot afford basic food and medical treatment.",2023-05-15 23:28:56+00:00,people don't pray for those who need prayers most the poor dying of hunger malnutrition dysentry cholera who cannot afford basic food and medical treatment,"['people', 'do', ""n't"", 'pray', 'for', 'those', 'who', 'need', 'prayers', 'most', 'the', 'poor', 'dying', 'of', 'hunger', 'malnutrition', 'dysentry', 'cholera', 'who', 'can', 'not', 'afford', 'basic', 'food', 'and', 'medical', 'treatment']","['people', ""n't"", 'pray', 'need', 'prayer', 'poor', 'dying', 'hunger', 'malnutrition', 'dysentry', 'cholera', 'afford', 'basic', 'food', 'medical', 'treatment']",people n't pray need prayer poor dying hunger malnutrition dysentry cholera afford basic food medical treatment,True,0.38552842,False,True,False
1658249995730993152,"@JohnapIdris1 @AndyHammers @MailOnline Smallpox, TB, Flu and Cholera.",2023-05-15 23:16:22+00:00,smallpox tb flu and cholera,"['smallpox', 'tb', 'flu', 'and', 'cholera']","['smallpox', 'tb', 'flu', 'cholera']",smallpox tb flu cholera,True,0.501987,True,False,True
1658226898453897216,"@chrischinaire At least you can swim there now,Chris. But chenjera cholera! ð¤£",2023-05-15 21:44:35+00:00,at least you can swim there nowchris but chenjera cholera,"['at', 'least', 'you', 'can', 'swim', 'there', 'nowchris', 'but', 'chenjera', 'cholera']","['least', 'swim', 'nowchris', 'chenjera', 'cholera']",least swim nowchris chenjera cholera,True,0.5153966,True,False,True
1658217521437089807,UN warns of cross-border spread as cholera kills 94 in Ethiopia https://t.co/R1DGz8i8GZ,2023-05-15 21:07:19+00:00,un warns of crossborder spread as cholera kills in ethiopia,"['un', 'warns', 'of', 'crossborder', 'spread', 'as', 'cholera', 'kills', 'in', 'ethiopia']","['un', 'warns', 'crossborder', 'spread', 'cholera', 'kill', 'ethiopia']",un warns crossborder spread cholera kill ethiopia,True,0.5251804,True,False,True
1658209233072955425,"I, too, think you should risk getting cholera to post the receipt of your very expensive breakfast.",2023-05-15 20:34:23+00:00,i too think you should risk getting cholera to post the receipt of your very expensive breakfast,"['i', 'too', 'think', 'you', 'should', 'risk', 'getting', 'cholera', 'to', 'post', 'the', 'receipt', 'of', 'your', 'very', 'expensive', 'breakfast']","['think', 'risk', 'getting', 'cholera', 'post', 'receipt', 'expensive', 'breakfast']",think risk getting cholera post receipt expensive breakfast,True,0.51235276,True,False,True
1658202112038150164,@NewsHawksLive Symptom of a collapsed economy:- outbreaks of eradicated diseases like cholera.,2023-05-15 20:06:06+00:00,symptom of a collapsed economy outbreaks of eradicated diseases like cholera,"['symptom', 'of', 'a', 'collapsed', 'economy', 'outbreaks', 'of', 'eradicated', 'diseases', 'like', 'cholera']","['symptom', 'collapsed', 'economy', 'outbreak', 'eradicated', 'disease', 'like', 'cholera']",symptom collapsed economy outbreak eradicated disease like cholera,True,0.5878899,True,False,True
1658199165170483201,He died of Cholera,2023-05-15 19:54:23+00:00,he died of cholera,"['he', 'died', 'of', 'cholera']","['died', 'cholera']",died cholera,True,0.5802491,True,False,True
1658198241119465472,"Mozambique faces worst cholera outbreak in more than 20 years - Africanews: ... fetching water from these contaminated water sources"", said Michael Chimedza, chief, Field Office, United Nations Children's Fund (UNICEF).",2023-05-15 19:50:43+00:00,mozambique faces worst cholera outbreak in more than years africanews fetching water from these contaminated water sources said michael chimedza chief field office united nations children's fund unicef,"['mozambique', 'faces', 'worst', 'cholera', 'outbreak', 'in', 'more', 'than', 'years', 'africanews', 'fetching', 'water', 'from', 'these', 'contaminated', 'water', 'sources', 'said', 'michael', 'chimedza', 'chief', 'field', 'office', 'united', 'nations', 'children', ""'s"", 'fund', 'unicef']","['mozambique', 'face', 'worst', 'cholera', 'outbreak', 'year', 'africanews', 'fetching', 'water', 'contaminated', 'water', 'source', 'said', 'michael', 'chimedza', 'chief', 'field', 'office', 'united', 'nation', 'child', ""'s"", 'fund', 'unicef']",mozambique face worst cholera outbreak year africanews fetching water contaminated water source said michael chimedza chief field office united nation child 's fund unicef,True,0.5708823,True,False,True
1658198198626975746,"Tanzania: Yanga, Unicef Join Fight Against Cholera - https://t.co/cZS2c16Px0: ... the United Nations International Children's Emergency Fund (UNICEF), ... and controlling all water-borne diseases, especially cholera.",2023-05-15 19:50:33+00:00,tanzania yanga unicef join fight against cholera the united nations international children's emergency fund unicef and controlling all waterborne diseases especially cholera,"['tanzania', 'yanga', 'unicef', 'join', 'fight', 'against', 'cholera', 'the', 'united', 'nations', 'international', 'children', ""'s"", 'emergency', 'fund', 'unicef', 'and', 'controlling', 'all', 'waterborne', 'diseases', 'especially', 'cholera']","['tanzania', 'yanga', 'unicef', 'join', 'fight', 'cholera', 'united', 'nation', 'international', 'child', ""'s"", 'emergency', 'fund', 'unicef', 'controlling', 'waterborne', 'disease', 'especially', 'cholera']",tanzania yanga unicef join fight cholera united nation international child 's emergency fund unicef controlling waterborne disease especially cholera,True,0.53437984,True,False,True
1658197374223765504,@DrChrisHope @Feargal_Sharkey Is there a likelihood of cholera making a comeback if the pollution of ð© in our water continues?,2023-05-15 19:47:16+00:00,is there a likelihood of cholera making a comeback if the pollution of in our water continues,"['is', 'there', 'a', 'likelihood', 'of', 'cholera', 'making', 'a', 'comeback', 'if', 'the', 'pollution', 'of', 'in', 'our', 'water', 'continues']","['likelihood', 'cholera', 'making', 'comeback', 'pollution', 'water', 'continues']",likelihood cholera making comeback pollution water continues,True,0.64371467,True,False,True
